unique_id,class_id,class_name,urls,flickr_urls
95,n01843065,jacamar,1011,613
96,n01843383,toucan,1109,993
97,n01847000,drake,1266,1257
98,n01855032,red-breasted merganser,1059,676
99,n01855672,goose,1629,1404
100,n01860187,black swan,1349,1021
101,n01871265,tusker,1064,731
102,n01872401,echidna,1336,921
103,n01873310,platypus,1078,576
104,n01877812,wallaby,1599,1170
105,n01882714,koala,2469,1879
106,n01883070,wombat,1222,618
107,n01910747,jellyfish,1635,1260
108,n01914609,sea anemone,1614,1071
109,n01917289,brain coral,1557,974
110,n01924916,flatworm,746,561
111,n01930112,nematode,745,439
112,n01943899,conch,1430,808
113,n01944390,snail,1837,1390
114,n01945685,slug,1500,1206
115,n01950731,sea slug,2211,1283
116,n01955084,chiton,971,662
117,n01968897,chambered nautilus,933,469
118,n01978287,Dungeness crab,1214,1011
119,n01978455,rock crab,1215,814
120,n01980166,fiddler crab,1182,879
121,n01981276,king crab,1019,637
122,n01983481,American lobster,1123,631
123,n01984695,spiny lobster,1091,757
124,n01985128,crayfish,1319,1214
125,n01986214,hermit crab,1430,1242
126,n01990800,isopod,713,296
127,n02002556,white stork,1174,1005
128,n02002724,black stork,1062,560
129,n02006656,spoonbill,1292,1107
130,n02007558,flamingo,1252,1242
131,n02009229,little blue heron,1373,1025
132,n02009912,American egret,1424,874
133,n02011460,bittern,1232,1143
134,n02012849,crane,1355,1327
135,n02013706,limpkin,1183,737
136,n02017213,European gallinule,1270,896
137,n02018207,American coot,1227,1129
138,n02018795,bustard,1220,850
139,n02025239,ruddy turnstone,1307,1082
140,n02027492,red-backed sandpiper,1457,1108
141,n02028035,redshank,1416,927
142,n02033041,dowitcher,1166,713
143,n02037110,oystercatcher,1453,1307
144,n02051845,pelican,1246,1147
145,n02056570,king penguin,2022,1220
146,n02058221,albatross,1690,1034
147,n02066245,grey whale,1356,653
148,n02071294,killer whale,1312,668
149,n02074367,dugong,1018,211
150,n02077923,sea lion,1297,781
151,n02085620,Chihuahua,1750,1303
152,n02085782,Japanese spaniel,385,12
153,n02085936,Maltese dog,1287,931
154,n02086079,Pekinese,1598,1291
155,n02086240,Shih-Tzu,2563,1933
156,n02086646,Blenheim spaniel,971,293
157,n02086910,papillon,1406,449
158,n02087046,toy terrier,640,354
159,n02087394,Rhodesian ridgeback,2449,1931
160,n02087551,hound,1209,676
161,n02088094,Afghan hound,1134,777
162,n02088238,basset,1660,1078
163,n02088364,beagle,1788,1051
164,n02088466,bloodhound,1161,624
165,n02088632,bluetick,537,217
166,n02089078,black-and-tan coonhound,435,68
167,n02089867,Walker hound,364,68
168,n02089973,English foxhound,454,48
169,n02090379,redbone,836,461
170,n02090622,borzoi,1107,770
171,n02090721,Irish wolfhound,1278,805
172,n02091032,Italian greyhound,1281,980
173,n02091134,whippet,1656,1204
174,n02091244,Ibizan hound,1140,253
175,n02091467,Norwegian elkhound,1108,571
176,n02091635,otterhound,396,13
177,n02091831,Saluki,1087,649
178,n02092002,Scottish deerhound,1333,906
179,n02092339,Weimaraner,1722,1251
180,n02093256,Staffordshire bullterrier,2070,1407
181,n02093428,American Staffordshire terrier,1329,707
182,n02093754,Border terrier,1545,1141
183,n02093859,Kerry blue terrier,937,197
184,n02093991,Irish terrier,1283,640
185,n02094114,Norfolk terrier,1000,327
186,n02094258,Norwich terrier,1127,336
187,n02094433,Yorkshire terrier,3047,2229
188,n02095314,wire-haired fox terrier,536,50
189,n02095570,Lakeland terrier,1042,457
190,n02095889,Sealyham terrier,623,38
191,n02096051,Airedale,1208,707
192,n02096177,cairn,1377,1021
193,n02096294,Australian terrier,1079,529
194,n02096437,Dandie Dinmont,915,243
195,n02096585,Boston bull,1494,1013
196,n02097047,miniature schnauzer,1324,944
197,n02097130,giant schnauzer,1289,564
198,n02097209,standard schnauzer,1040,203
199,n02097298,Scotch terrier,1274,880
200,n02097474,Tibetan terrier,774,398
201,n02097658,silky terrier,1303,1054
202,n02098105,soft-coated wheaten terrier,1580,812
203,n02098286,West Highland white terrier,1574,1054
204,n02098413,Lhasa,1497,1146
205,n02099267,flat-coated retriever,1342,1012
206,n02099429,curly-coated retriever,727,78
207,n02099601,golden retriever,1607,1007
208,n02099712,Labrador retriever,1846,1015
209,n02099849,Chesapeake Bay retriever,2143,1365
210,n02100236,German short-haired pointer,846,234
211,n02100583,vizsla,2334,1930
212,n02100735,English setter,2426,1895
213,n02100877,Irish setter,1425,1093
214,n02101006,Gordon setter,1264,863
215,n02101388,Brittany spaniel,1489,904
216,n02101556,clumber,1035,310
217,n02102040,English springer,1458,1076
218,n02102177,Welsh springer spaniel,1084,392
219,n02102318,cocker spaniel,1606,1262
220,n02102480,Sussex spaniel,1069,92
221,n02102973,Irish water spaniel,587,111
222,n02104029,kuvasz,1263,240
223,n02104365,schipperke,1506,896
224,n02105056,groenendael,1329,396
225,n02105162,malinois,1580,889
226,n02105251,briard,1207,583
227,n02105412,kelpie,1256,679
228,n02105505,komondor,922,112
229,n02105641,Old English sheepdog,1280,564
230,n02105855,Shetland sheepdog,1620,1198
231,n02106030,collie,1460,799
232,n02106166,Border collie,1469,1089
233,n02106382,Bouvier des Flandres,1470,281
234,n02106550,Rottweiler,1226,768
235,n02106662,German shepherd,1741,1235
236,n02107142,Doberman,1646,1335
237,n02107312,miniature pinscher,1884,1411
238,n02107574,Greater Swiss Mountain dog,1207,462
239,n02107683,Bernese mountain dog,1238,965
240,n02107908,Appenzeller,1188,402
241,n02108000,EntleBucher,447,41
242,n02108089,boxer,1777,1427
243,n02108422,bull mastiff,1080,372
244,n02108551,Tibetan mastiff,1419,654
245,n02108915,French bulldog,2297,1699
246,n02109047,Great Dane,1575,983
247,n02109525,Saint Bernard,1555,1178
248,n02109961,Eskimo dog,1542,1208
249,n02110063,malamute,1634,1070
250,n02110185,Siberian husky,1296,819
251,n02110341,dalmatian,1414,1127
252,n02110627,affenpinscher,796,135
253,n02110806,basenji,1845,1359
254,n02110958,pug,1261,918
255,n02111129,Leonberg,1106,282
256,n02111277,Newfoundland,1714,1407
257,n02111500,Great Pyrenees,1358,716
258,n02111889,Samoyed,1648,998
259,n02112018,Pomeranian,1613,1202
260,n02112137,chow,1233,779
261,n02112350,keeshond,1306,718
262,n02112706,Brabancon griffon,277,88
263,n02113023,Pembroke,1436,1116
264,n02113186,Cardigan,1460,947
265,n02113624,toy poodle,1833,1055
266,n02113712,miniature poodle,716,497
267,n02113799,standard poodle,1956,1502
268,n02113978,Mexican hairless,272,95
269,n02114367,timber wolf,1820,994
270,n02114548,white wolf,977,660
271,n02114712,red wolf,1156,725
272,n02114855,coyote,1664,925
273,n02115641,dingo,1262,751
274,n02115913,dhole,726,222
275,n02116738,African hunting dog,1160,670
276,n02117135,hyena,1582,1130
277,n02119022,red fox,1851,971
278,n02119789,kit fox,829,559
279,n02120079,Arctic fox,1030,512
280,n02120505,grey fox,1074,534
281,n02123045,tabby,1525,1230
282,n02123159,tiger cat,1424,1257
283,n02123394,Persian cat,1662,1294
284,n02123597,Siamese cat,1739,1434
285,n02124075,Egyptian cat,977,588
286,n02125311,cougar,1457,918
287,n02127052,lynx,1452,942
288,n02128385,leopard,1400,805
289,n02128757,snow leopard,1568,1287
290,n02128925,jaguar,1514,866
291,n02129165,lion,1795,1257
292,n02129604,tiger,2086,1303
293,n02130308,cheetah,1427,972
294,n02132136,brown bear,1774,883
295,n02133161,American black bear,1354,972
296,n02134084,ice bear,1929,1197
297,n02134418,sloth bear,1106,828
298,n02137549,mongoose,1207,983
299,n02138441,meerkat,2341,1955
300,n02165105,tiger beetle,1168,872
301,n02165456,ladybug,1923,1868
302,n02167151,ground beetle,1077,607
303,n02168699,long-horned beetle,1007,476
304,n02169497,leaf beetle,1313,1261
305,n02172182,dung beetle,1138,956
306,n02174001,rhinoceros beetle,1216,751
307,n02177972,weevil,1329,1223
308,n02190166,fly,1320,1304
309,n02206856,bee,1672,1593
310,n02219486,ant,1656,1365
311,n02226429,grasshopper,1482,1432
312,n02229544,cricket,1308,1221
313,n02231487,walking stick,1393,1380
314,n02233338,cockroach,1157,908
315,n02236044,mantis,1499,1424
316,n02256656,cicada,1227,1172
317,n02259212,leafhopper,1400,1357
318,n02264363,lacewing,1363,986
319,n02268443,dragonfly,2113,1584
320,n02268853,damselfly,1617,941
321,n02276258,admiral,1325,1143
322,n02277742,ringlet,1659,881
323,n02279972,monarch,2386,1644
324,n02280649,cabbage butterfly,1670,1296
325,n02281787,lycaenid,1507,1127
326,n02281787,lycaenid,1507,1127
327,n02317335,starfish,1396,1325
328,n02319095,sea urchin,1186,1021
329,n02321529,sea cucumber,1167,988
330,n02325366,wood rabbit,1280,816
331,n02326432,hare,1113,589
332,n02328150,Angora,1103,708
333,n02342885,hamster,1210,946
334,n02346627,porcupine,1147,739
335,n02356798,fox squirrel,1141,308
336,n02361337,marmot,1580,984
337,n02363005,beaver,1239,519
338,n02364673,guinea pig,1633,1264
339,n02389026,sorrel,1258,470
340,n02391049,zebra,1474,988
341,n02395406,hog,1463,695
342,n02396427,wild boar,1289,583
343,n02397096,warthog,1448,936
344,n02398521,hippopotamus,1391,940
345,n02403003,ox,1188,843
346,n02408429,water buffalo,1250,919
347,n02410509,bison,1625,1111
348,n02412080,ram,1252,1244
349,n02415577,bighorn,1315,748
350,n02417914,ibex,1500,587
351,n02422106,hartebeest,1254,417
352,n02422699,impala,1441,743
353,n02423022,gazelle,1384,766
354,n02437312,Arabian camel,1246,665
355,n02437616,llama,1304,957
356,n02441942,weasel,1003,589
357,n02442845,mink,803,463
358,n02443114,polecat,1145,578
359,n02443484,black-footed ferret,999,721
360,n02444819,otter,1547,1017
361,n02445715,skunk,1061,679
362,n02447366,badger,1290,784
363,n02454379,armadillo,1282,718
364,n02457408,three-toed sloth,1069,442
365,n02480495,orangutan,1859,1306
366,n02480855,gorilla,1915,1653
367,n02481823,chimpanzee,1502,1113
368,n02483362,gibbon,1255,809
369,n02483708,siamang,1182,836
370,n02484975,guenon,731,493
371,n02486261,patas,930,529
372,n02486410,baboon,1635,1242
373,n02487347,macaque,1591,1173
374,n02488291,langur,1470,940
375,n02488702,colobus,1366,986
376,n02489166,proboscis monkey,846,526
377,n02490219,marmoset,1460,981
378,n02492035,capuchin,1189,727
379,n02492660,howler monkey,1474,1062
380,n02493509,titi,710,434
381,n02493793,spider monkey,1348,1063
382,n02494079,squirrel monkey,1435,1078
383,n02497673,Madagascar cat,1670,1385
384,n02500267,indri,1002,372
385,n02504013,Indian elephant,1650,845
386,n02504458,African elephant,2277,1891
387,n02509815,lesser panda,1686,1415
388,n02510455,giant panda,1832,1548
389,n02514041,barracouta,1023,180
390,n02536456,chinook,1316,687
391,n02536864,coho,1124,684
392,n02606052,rock beauty,562,169
393,n02607072,anemone fish,1319,1209
394,n02640242,sturgeon,981,449
395,n02641379,gar,1019,479
396,n02643566,lionfish,1513,1401
397,n02655020,puffer,1127,790
398,n02666196,abacus,1628,846
399,n02667093,abaya,1257,718
400,n02669723,academic gown,953,244
401,n02672831,accordion,1235,836
402,n02676566,acoustic guitar,2017,1141
403,n02687172,aircraft carrier,1321,656
404,n02690373,airliner,1227,1052
405,n02692877,airship,1247,662
406,n02699494,altar,1191,876
407,n02701002,ambulance,1510,851
408,n02704792,amphibian,1267,689
409,n02708093,analog clock,1077,437
410,n02727426,apiary,926,756
411,n02730930,apron,1064,836
412,n02747177,ashcan,1315,885
413,n02749479,assault rifle,1172,608
414,n02769748,backpack,1396,785
415,n02776631,bakery,1214,1022
416,n02777292,balance beam,1215,601
417,n02782093,balloon,1240,758
418,n02783161,ballpoint,1336,664
419,n02786058,Band Aid,1297,793
420,n02787622,banjo,1734,974
421,n02788148,bannister,1599,1375
422,n02790996,barbell,1841,827
423,n02791124,barber chair,1095,569
424,n02791270,barbershop,1573,1532
425,n02793495,barn,1495,1453
426,n02794156,barometer,1019,571
427,n02795169,barrel,1171,719
428,n02797295,barrow,1337,1022
429,n02799071,baseball,974,571
430,n02802426,basketball,1124,826
431,n02804414,bassinet,1225,818
432,n02804610,bassoon,1348,687
433,n02807133,bathing cap,1083,683
434,n02808304,bath towel,1292,700
435,n02808440,bathtub,1192,643
436,n02814533,beach wagon,1366,958
437,n02814860,beacon,1826,1088
438,n02815834,beaker,982,254
439,n02817516,bearskin,702,371
440,n02823428,beer bottle,1316,1280
441,n02823750,beer glass,1292,927
442,n02825657,bell cote,1119,833
443,n02834397,bib,1660,1328
444,n02835271,bicycle-built-for-two,1214,814
445,n02837789,bikini,1571,1028
446,n02840245,binder,1151,544
447,n02841315,binoculars,1375,804
448,n02843684,birdhouse,1344,1261
449,n02859443,boathouse,938,606
450,n02860847,bobsled,1275,659
451,n02865351,bolo tie,777,175
452,n02869837,bonnet,1094,835
453,n02870880,bookcase,1158,819
454,n02871525,bookshop,1333,1260
455,n02877765,bottlecap,1164,1105
456,n02879718,bow,1111,536
457,n02883205,bow tie,1296,996
458,n02892201,brass,1670,1654
459,n02892767,brassiere,1148,688
460,n02894605,breakwater,1292,1285
461,n02895154,breastplate,942,422
462,n02906734,broom,1558,670
463,n02909870,bucket,1445,983
464,n02910353,buckle,1147,695
465,n02916936,bulletproof vest,802,113
466,n02917607,bullnose,541,3
467,n02927161,butcher shop,1214,1195
468,n02930766,cab,1326,1176
469,n02939185,caldron,1040,522
470,n02948072,candle,1789,825
471,n02950826,cannon,1220,957
472,n02951358,canoe,1138,609
473,n02951585,can opener,1139,420
474,n02963159,cardigan,1490,1196
475,n02965783,car mirror,1616,1572
476,n02966193,carousel,1601,845
477,n02966687,carpenter's kit,1071,314
478,n02971356,carton,1629,726
479,n02974003,car wheel,1311,785
480,n02977058,cash machine,1755,931
481,n02978881,cassette,1128,638
482,n02979186,cassette player,1018,391
483,n02980441,castle,1379,1144
484,n02981792,catamaran,1338,791
485,n02988304,CD player,1152,675
486,n02992211,cello,1684,806
487,n02992529,cellular telephone,1423,863
488,n02999410,chain,1182,675
489,n03000134,chainlink fence,1523,1456
490,n03000247,chain mail,1150,685
491,n03000684,chain saw,1519,649
492,n03014705,chest,1149,605
493,n03016953,chiffonier,1403,190
494,n03017168,chime,941,404
495,n03018349,china cabinet,1393,836
496,n03026506,Christmas stocking,1252,1103
497,n03028079,church,1329,1262
498,n03032252,cinema,1392,1210
499,n03041632,cleaver,948,354
500,n03042490,cliff dwelling,1597,1558
501,n03045698,cloak,1082,591
502,n03047690,clog,1106,640
503,n03062245,cocktail shaker,1188,353
504,n03063599,coffee mug,2252,852
505,n03063689,coffeepot,1538,753
506,n03065424,coil,1045,911
507,n03075370,combination lock,1106,526
508,n03085013,computer keyboard,2225,1397
509,n03089624,confectionery,1151,1033
510,n03095699,container ship,1613,1083
511,n03100240,convertible,1887,1226
512,n03109150,corkscrew,1456,675
513,n03110669,cornet,2092,1029
514,n03124043,cowboy boot,1269,851
515,n03124170,cowboy hat,1349,1293
516,n03125729,cradle,1268,530
517,n03126707,crane,1861,834
518,n03127747,crash helmet,1286,756
519,n03127925,crate,1113,660
520,n03131574,crib,1453,703
521,n03133878,Crock Pot,1180,500
522,n03134739,croquet ball,843,547
523,n03141823,crutch,1239,1085
524,n03146219,cuirass,1075,391
525,n03160309,dam,1203,833
526,n03179701,desk,1366,812
527,n03180011,desktop computer,1443,738
528,n03187595,dial telephone,1025,902
529,n03188531,diaper,1163,667
530,n03196217,digital clock,1097,773
531,n03197337,digital watch,1357,470
532,n03201208,dining table,2217,1164
533,n03207743,dishrag,1634,1614
534,n03207941,dishwasher,1367,1045
535,n03208938,disk brake,1151,638
536,n03216828,dock,857,850
537,n03218198,dogsled,1188,779
538,n03220513,dome,1187,978
539,n03223299,doormat,1243,830
540,n03240683,drilling platform,1175,543
541,n03249569,drum,1927,973
542,n03250847,drumstick,1278,871
543,n03255030,dumbbell,1611,643
544,n03259280,Dutch oven,1313,855
545,n03271574,electric fan,1223,771
546,n03272010,electric guitar,1639,512
547,n03272562,electric locomotive,1217,1030
548,n03290653,entertainment center,1555,507
549,n03291819,envelope,1023,767
550,n03297495,espresso maker,1128,325
551,n03314780,face powder,1138,328
552,n03325584,feather boa,1530,1477
553,n03337140,file,1701,791
554,n03344393,fireboat,1365,978
555,n03345487,fire engine,1356,1091
556,n03347037,fire screen,909,195
557,n03355925,flagpole,1234,957
558,n03372029,flute,1687,856
559,n03376595,folding chair,1537,760
560,n03379051,football helmet,1230,1161
561,n03384352,forklift,1465,820
562,n03388043,fountain,1354,1323
563,n03388183,fountain pen,1526,996
564,n03388549,four-poster,1346,535
565,n03393912,freight car,1311,1143
566,n03394916,French horn,1710,835
567,n03400231,frying pan,1171,714
568,n03404251,fur coat,1398,983
569,n03417042,garbage truck,1155,640
570,n03424325,gasmask,1242,757
571,n03425413,gas pump,2189,1550
572,n03443371,goblet,1378,817
573,n03444034,go-kart,1340,1060
574,n03445777,golf ball,1181,867
575,n03445924,golfcart,1447,1041
576,n03447447,gondola,1172,909
577,n03447721,gong,906,334
578,n03450230,gown,1413,802
579,n03452741,grand piano,1318,1060
580,n03457902,greenhouse,1307,1248
581,n03459775,grille,1597,1546
582,n03461385,grocery store,1178,910
583,n03467068,guillotine,804,631
584,n03476684,hair slide,859,277
585,n03476991,hair spray,813,563
586,n03478589,half track,1270,711
587,n03481172,hammer,1390,700
588,n03482405,hamper,906,359
589,n03483316,hand blower,1285,756
590,n03485407,hand-held computer,905,12
591,n03485794,handkerchief,1159,912
592,n03492542,hard disc,1186,674
593,n03494278,harmonica,1503,725
594,n03495258,harp,1822,989
595,n03496892,harvester,1446,586
596,n03498962,hatchet,849,215
597,n03527444,holster,1153,626
598,n03529860,home theater,930,762
599,n03530642,honeycomb,1045,694
600,n03532672,hook,1660,543
601,n03534580,hoopskirt,983,402
602,n03535780,horizontal bar,1137,530
603,n03538406,horse cart,1211,920
604,n03544143,hourglass,1176,533
605,n03584254,iPod,1283,998
606,n03584829,iron,1653,679
607,n03590841,jack-o'-lantern,1712,1208
608,n03594734,jean,1905,1107
609,n03594945,jeep,1415,1007
610,n03595614,jersey,1331,884
611,n03598930,jigsaw puzzle,1145,1132
612,n03599486,jinrikisha,1100,681
613,n03602883,joystick,1656,720
614,n03617480,kimono,1267,996
615,n03623198,knee pad,1146,439
616,n03627232,knot,1114,633
617,n03630383,lab coat,1365,744
618,n03633091,ladle,1817,801
619,n03637318,lampshade,1615,1342
620,n03642806,laptop,1387,1286
621,n03649909,lawn mower,2130,905
622,n03657121,lens cap,1386,1358
623,n03658185,letter opener,1170,250
624,n03661043,library,1305,679
625,n03662601,lifeboat,1243,938
626,n03666591,lighter,1599,770
627,n03670208,limousine,1693,1042
628,n03673027,liner,1385,1067
629,n03676483,lipstick,1270,745
630,n03680355,Loafer,965,501
631,n03690938,lotion,1232,732
632,n03691459,loudspeaker,1518,551
633,n03692522,loupe,1406,418
634,n03697007,lumbermill,1155,575
635,n03706229,magnetic compass,882,114
636,n03709823,mailbag,1452,638
637,n03710193,mailbox,1280,1224
638,n03710637,maillot,1143,698
639,n03710721,maillot,691,426
640,n03717622,manhole cover,1623,1590
641,n03720891,maraca,1333,615
642,n03721384,marimba,1603,1036
643,n03724870,mask,1220,731
644,n03729826,matchstick,922,633
645,n03733131,maypole,1159,796
646,n03733281,maze,1232,838
647,n03733805,measuring cup,1076,411
648,n03742115,medicine chest,1117,780
649,n03743016,megalith,1425,1299
650,n03759954,microphone,2089,993
651,n03761084,microwave,1546,906
652,n03763968,military uniform,1431,1375
653,n03764736,milk can,951,448
654,n03769881,minibus,1292,737
655,n03770439,miniskirt,1522,1059
656,n03770679,minivan,1555,731
657,n03773504,missile,1220,636
658,n03775071,mitten,1348,1335
659,n03775546,mixing bowl,1323,812
660,n03776460,mobile home,1172,672
661,n03777568,Model T,1268,993
662,n03777754,modem,1261,497
663,n03781244,monastery,783,344
664,n03782006,monitor,1227,633
665,n03785016,moped,1264,878
666,n03786901,mortar,1258,634
667,n03787032,mortarboard,1379,932
668,n03788195,mosque,1144,561
669,n03788365,mosquito net,1340,873
670,n03791053,motor scooter,1427,902
671,n03792782,mountain bike,1641,825
672,n03792972,mountain tent,1157,786
673,n03793489,mouse,1303,785
674,n03794056,mousetrap,858,500
675,n03796401,moving van,676,314
676,n03803284,muzzle,907,348
677,n03804744,nail,1121,756
678,n03814639,neck brace,1121,510
679,n03814906,necklace,1341,1279
680,n03825788,nipple,1059,320
681,n03832673,notebook,2020,775
682,n03837869,obelisk,1479,1418
683,n03838899,oboe,1333,648
684,n03840681,ocarina,1433,439
685,n03841143,odometer,1951,1224
686,n03843555,oil filter,1097,173
687,n03854065,organ,1229,795
688,n03857828,oscilloscope,1711,694
689,n03866082,overskirt,567,99
690,n03868242,oxcart,1186,669
691,n03868863,oxygen mask,1137,430
692,n03871628,packet,1181,669
693,n03873416,paddle,1215,700
694,n03874293,paddlewheel,1166,720
695,n03874599,padlock,1267,1172
696,n03876231,paintbrush,1181,927
697,n03877472,pajama,1207,712
698,n03877845,palace,1166,660
699,n03884397,panpipe,1093,383
700,n03887697,paper towel,1180,568
701,n03888257,parachute,1229,767
702,n03888605,parallel bars,1048,474
703,n03891251,park bench,1233,916
704,n03891332,parking meter,1314,1280
705,n03895866,passenger car,986,608
706,n03899768,patio,637,608
707,n03902125,pay-phone,1662,1473
708,n03903868,pedestal,1152,347
709,n03908618,pencil box,1361,1225
710,n03908714,pencil sharpener,1268,663
711,n03916031,perfume,1313,737
712,n03920288,Petri dish,951,307
713,n03924679,photocopier,1236,392
714,n03929660,pick,1173,629
715,n03929855,pickelhaube,796,194
716,n03930313,picket fence,1587,1567
717,n03930630,pickup,1443,919
718,n03933933,pier,1211,952
719,n03935335,piggy bank,1194,840
720,n03937543,pill bottle,1142,608
721,n03938244,pillow,1295,1265
722,n03942813,ping-pong ball,965,742
723,n03944341,pinwheel,785,669
724,n03947888,pirate,634,513
725,n03950228,pitcher,1871,893
726,n03954731,plane,1111,374
727,n03956157,planetarium,881,686
728,n03958227,plastic bag,922,476
729,n03961711,plate rack,645,165
730,n03967562,plow,1058,762
731,n03970156,plunger,915,663
732,n03976467,Polaroid camera,1243,916
733,n03976657,pole,1220,781
734,n03977966,police van,1200,903
735,n03980874,poncho,1269,1007
736,n03982430,pool table,1932,723
737,n03983396,pop bottle,1269,1250
738,n03991062,pot,1192,626
739,n03992509,potter's wheel,1090,275
740,n03995372,power drill,1394,341
741,n03998194,prayer rug,1591,490
742,n04004767,printer,1920,889
743,n04005630,prison,916,601
744,n04008634,projectile,1464,719
745,n04009552,projector,1474,716
746,n04019541,puck,1275,507
747,n04023962,punching bag,1229,576
748,n04026417,purse,1409,726
749,n04033901,quill,1103,499
750,n04033995,quilt,1499,728
751,n04037443,racer,1552,1005
752,n04039381,racket,1235,748
753,n04040759,radiator,1151,917
754,n04041544,radio,1205,629
755,n04044716,radio telescope,1328,913
756,n04049303,rain barrel,1671,817
757,n04065272,recreational vehicle,1433,717
758,n04067472,reel,1133,623
759,n04069434,reflex camera,1340,742
760,n04070727,refrigerator,1391,877
761,n04074963,remote control,1356,764
762,n04081281,restaurant,1201,619
763,n04086273,revolver,1223,742
764,n04090263,rifle,1475,822
765,n04099969,rocking chair,1456,506
766,n04111531,rotisserie,1046,640
767,n04116512,rubber eraser,1051,721
768,n04118538,rugby ball,1508,1321
769,n04118776,rule,1215,768
770,n04120489,running shoe,1546,1113
771,n04125021,safe,1272,409
772,n04127249,safety pin,1215,734
773,n04131690,saltshaker,1473,1246
774,n04133789,sandal,1382,919
775,n04136333,sarong,1252,613
776,n04141076,sax,1673,820
777,n04141327,scabbard,1231,406
778,n04141975,scale,1340,834
779,n04146614,school bus,1303,899
780,n04147183,schooner,1235,727
781,n04149813,scoreboard,1322,389
782,n04152593,screen,1342,558
783,n04153751,screw,1221,720
784,n04154565,screwdriver,1425,742
785,n04162706,seat belt,1153,971
786,n04179913,sewing machine,2078,1295
787,n04192698,shield,1155,672
788,n04200800,shoe shop,1201,1081
789,n04201297,shoji,1403,591
790,n04204238,shopping basket,1137,483
791,n04204347,shopping cart,1423,1258
792,n04208210,shovel,1222,689
793,n04209133,shower cap,1074,680
794,n04209239,shower curtain,1913,903
795,n04228054,ski,1196,784
796,n04229816,ski mask,1105,825
797,n04235860,sleeping bag,1195,671
798,n04238763,slide rule,1230,339
799,n04239074,sliding door,1191,887
800,n04243546,slot,1834,995
801,n04251144,snorkel,1200,779
802,n04252077,snowmobile,1338,949
